"type","language","license","rightsHolder","accessRights","datasetID","institutionCode","datasetName","basisOfRecord","occurrenceID","recordedBy","individualCount","occurrenceRemarks","samplingProtocol","samplingEffort","eventDate","continent","countryCode","municipality","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","identifiedBy","scientificName","kingdom","scientificNameAuthorship","nomenclaturalCode","status"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:20587","Rato",0,"Identified","Fish traps=2","times-visited=3","2020-5-11","Europe","BE","MALDEGEM ",216864.940895091,83619.7279456906,"Lambert coordinates","Belgian Datum 72",51.2578620661479,3.41785842054126,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:20768","Rato",0,"Identified","Conibear trap=2",,"2020-5-18","Europe","BE","OUDENAARDE ",167955.530460932,94506.9878804178,"Lambert coordinates","Belgian Datum 72",50.8193916765748,3.58123021239341,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:20922","Rato",0,"Identified","Conibear trap=6",,"2020-5-20","Europe","BE","OUDENAARDE ",167914.247105755,94455.5644339043,"Lambert coordinates","Belgian Datum 72",50.81901567631,3.58050671239474,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:20921","Rato",0,"Identified","Conibear trap=2",,"2020-5-20","Europe","BE","OUDENAARDE ",167915.382959427,94455.4566807607,"Lambert coordinates","Belgian Datum 72",50.8190258763125,3.58050501238866,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:20920","Rato",,"","Conibear trap=3",,"2020-5-20","Europe","BE","OUDENAARDE ",167922.216170358,94437.3757891516,"Lambert coordinates","Belgian Datum 72",50.8190855762724,3.58024741228283,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN",
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:20944","Rato",,"","Conibear trap=1",,"2020-5-20","Europe","BE","OUDENAARDE ",168000.173168958,94614.2020008022,"Lambert coordinates","Belgian Datum 72",50.8198031770239,3.58274491259699,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN",
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:20946","Rato",0,"Identified","Conibear trap=2",,"2020-5-20","Europe","BE","OUDENAARDE ",167995.839847346,94606.3410311247,"Lambert coordinates","Belgian Datum 72",50.8197634769883,3.58263401258734,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:20945","Rato",,"","Conibear trap=1",,"2020-5-20","Europe","BE","OUDENAARDE ",167963.591316641,94532.6118431592,"Lambert coordinates","Belgian Datum 72",50.8194665766756,3.58159261245505,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN",
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:21015","Rato",11,"Catch","Fish traps=3","times-visited=3","2020-5-26","Europe","BE","BRAKEL ",161697.544557442,109401.408289899,"Lambert coordinates","Belgian Datum 72",50.7643646076551,3.79327980235139,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:21053","Rato",6,"Catch","Conibear trap=4","times-visited=6","2020-5-27","Europe","BE","LIERDE ",164747.634744919,114012.243145112,"Lambert coordinates","Belgian Datum 72",50.7920859294751,3.85833780581609,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
